session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2023-04-03 08:00:00+00:00,weekday,monday,atm_call,28000.0,C,short,0.019,2023-04-04 08:00:00+00:00,1,28040.2,40.20000000000073,492.5637999999992
2023-04-03 08:00:00+00:00,weekday,monday,atm_put,28000.0,P,short,0.0065,2023-04-04 08:00:00+00:00,1,28040.2,0.0,182.2613
2023-04-03 08:00:00+00:00,weekday,monday,otm_call,30000.0,C,long,0.0005,2023-04-04 08:00:00+00:00,1,28040.2,0.0,-14.020100000000001
2023-04-03 08:00:00+00:00,weekday,monday,otm_put,26500.0,P,long,0.0005,2023-04-04 08:00:00+00:00,1,28040.2,0.0,-14.020100000000001
2023-04-12 08:00:00+00:00,weekday,wednesday,atm_call,30000.0,C,short,0.0155,2023-04-13 08:00:00+00:00,1,30097.58,97.58000000000175,368.93248999999827
2023-04-12 08:00:00+00:00,weekday,wednesday,atm_put,30000.0,P,short,0.0145,2023-04-13 08:00:00+00:00,1,30097.58,0.0,436.41491
2023-04-12 08:00:00+00:00,weekday,wednesday,otm_call,33000.0,C,long,0.0005,2023-04-13 08:00:00+00:00,1,30097.58,0.0,-15.04879
2023-04-12 08:00:00+00:00,weekday,wednesday,otm_put,28000.0,P,long,0.0005,2023-04-13 08:00:00+00:00,1,30097.58,0.0,-15.04879
2023-04-16 08:00:00+00:00,weekend,sunday,atm_call,30250.0,C,short,0.009,2023-04-17 08:00:00+00:00,1,29864.74,0.0,268.78266
2023-04-16 08:00:00+00:00,weekend,sunday,atm_put,30250.0,P,short,0.0055,2023-04-17 08:00:00+00:00,1,29864.74,385.2599999999984,-221.0039299999984
2023-04-16 08:00:00+00:00,weekend,sunday,otm_call,31500.0,C,long,0.0005,2023-04-17 08:00:00+00:00,1,29864.74,0.0,-14.93237
2023-04-16 08:00:00+00:00,weekend,sunday,otm_put,29500.0,P,long,0.001,2023-04-17 08:00:00+00:00,1,29864.74,0.0,-29.86474
2023-05-10 08:00:00+00:00,weekday,wednesday,atm_call,27500.0,C,short,0.014,2023-05-11 08:00:00+00:00,1,27466.66,0.0,384.53324
2023-05-10 08:00:00+00:00,weekday,wednesday,atm_put,27500.0,P,short,0.0115,2023-05-11 08:00:00+00:00,1,27466.66,33.340000000000146,282.5265899999998
2023-05-10 08:00:00+00:00,weekday,wednesday,otm_call,29500.0,C,long,0.0005,2023-05-11 08:00:00+00:00,1,27466.66,0.0,-13.73333
2023-05-10 08:00:00+00:00,weekday,wednesday,otm_put,26000.0,P,long,0.0005,2023-05-11 08:00:00+00:00,1,27466.66,0.0,-13.73333
2023-06-10 08:00:00+00:00,weekend,saturday,atm_call,25750.0,C,short,0.005,2023-06-11 08:00:00+00:00,1,25753.79,3.790000000000873,124.97894999999914
2023-06-10 08:00:00+00:00,weekend,saturday,atm_put,25750.0,P,short,0.012,2023-06-11 08:00:00+00:00,1,25753.79,0.0,309.04548
2023-06-10 08:00:00+00:00,weekend,saturday,otm_call,28000.0,C,long,0.0005,2023-06-11 08:00:00+00:00,1,25753.79,0.0,-12.876895000000001
2023-06-10 08:00:00+00:00,weekend,saturday,otm_put,23500.0,P,long,0.0005,2023-06-11 08:00:00+00:00,1,25753.79,0.0,-12.876895000000001
2023-06-13 08:00:00+00:00,weekday,tuesday,atm_call,26000.0,C,short,0.0135,2023-06-14 08:00:00+00:00,1,25898.5,0.0,349.62975
2023-06-13 08:00:00+00:00,weekday,tuesday,atm_put,26000.0,P,short,0.009,2023-06-14 08:00:00+00:00,1,25898.5,101.5,131.58649999999997
2023-06-13 08:00:00+00:00,weekday,tuesday,otm_call,27500.0,C,long,0.0005,2023-06-14 08:00:00+00:00,1,25898.5,0.0,-12.949250000000001
2023-06-13 08:00:00+00:00,weekday,tuesday,otm_put,24500.0,P,long,0.0005,2023-06-14 08:00:00+00:00,1,25898.5,0.0,-12.949250000000001
2023-06-22 08:00:00+00:00,weekday,thursday,atm_call,30000.0,C,short,0.014,2023-06-23 08:00:00+00:00,1,29951.99,0.0,419.32786000000004
2023-06-22 08:00:00+00:00,weekday,thursday,atm_put,30000.0,P,short,0.0095,2023-06-23 08:00:00+00:00,1,29951.99,48.0099999999984,236.5339050000016
2023-06-22 08:00:00+00:00,weekday,thursday,otm_call,33000.0,C,long,0.0005,2023-06-23 08:00:00+00:00,1,29951.99,0.0,-14.975995000000001
2023-06-22 08:00:00+00:00,weekday,thursday,otm_put,28250.0,P,long,0.0005,2023-06-23 08:00:00+00:00,1,29951.99,0.0,-14.975995000000001
2023-10-26 08:00:00+00:00,weekday,thursday,atm_call,34750.0,C,short,0.009,2023-10-27 08:00:00+00:00,1,33954.13,0.0,305.58716999999996
2023-10-26 08:00:00+00:00,weekday,thursday,atm_put,34500.0,P,short,0.011,2023-10-27 08:00:00+00:00,1,33954.13,545.8700000000026,-172.37457000000268
2023-10-26 08:00:00+00:00,weekday,thursday,otm_call,40000.0,C,long,0.0002,2023-10-27 08:00:00+00:00,1,33954.13,0.0,-6.790826
2023-10-26 08:00:00+00:00,weekday,thursday,otm_put,29500.0,P,long,0.0002,2023-10-27 08:00:00+00:00,1,33954.13,0.0,-6.790826
